Date,Buoy,Chl
2016-06-08,CTD8,13.715
2016-06-29,CTD4,12.175
2016-08-02,CTD1,12.325
2016-08-02,CTD10,15.065
2016-08-02,CTD11,15.795
2016-08-02,CTD12,16.485
2016-08-02,CTD2,15.67
2016-08-02,CTD3,14.81
2016-08-02,CTD4,11.815
2016-08-02,CTD6,17.085
2016-08-02,CTD7,16.795
2016-08-02,CTD8,14.655
2016-08-02,CTD9,10.98
2016-08-04,CTD1,14.795
2016-08-04,CTD10,18.555
2016-08-04,CTD11,15.38
2016-08-04,CTD12,20.51
2016-08-04,CTD2,11.365
2016-08-04,CTD3,10.705
2016-08-04,CTD4,7.49
2016-08-04,CTD6,11.19
2016-08-04,CTD7,12.205
2016-08-04,CTD8,16.64
2016-08-04,CTD9,10.18
2016-08-09,CTD1,10.865
2016-08-09,CTD10,10.3
2016-08-09,CTD11,9.11
2016-08-09,CTD12,9.51
2016-08-09,CTD2,11.75
2016-08-09,CTD3,12.155
2016-08-09,CTD4,8.03
2016-08-09,CTD5,0.2475
2016-08-09,CTD6,11.08
2016-08-09,CTD7,12.465
2016-08-09,CTD8,13.48
2016-08-09,CTD9,3.66
2016-08-22,CTD12,12.362
2016-08-25,CTD1,14.685
2016-08-25,CTD10,19.245
2016-08-25,CTD11,15.14
2016-08-25,CTD2,16.625
2016-08-25,CTD3,14.44
2016-08-25,CTD4,16.52
2016-08-25,CTD5,0.48
2016-08-25,CTD6,12.095
2016-08-25,CTD7,12.105
2016-08-25,CTD8,11.22
2016-08-25,CTD9,14.7
2016-08-26,CTD4,
2016-08-27,CTD4,11.11
2016-08-30,CTD1,12.46
2016-08-30,CTD10,14.645
2016-08-30,CTD11,9.12
2016-08-30,CTD2,13.955
2016-08-30,CTD3,15.43
2016-08-30,CTD4,12.33
2016-08-30,CTD5,1.8525
2016-08-30,CTD6,14.67
2016-08-30,CTD7,15.98
2016-08-30,CTD8,16.04
2016-08-30,CTD9,8.44
2016-08-31,CTD1,
2016-09-01,CTD1,15.61
2016-09-06,CTD1,18.105
2016-09-06,CTD10,16.81
2016-09-06,CTD11,15.72
2016-09-06,CTD12,11.81
2016-09-06,CTD2,16.625
2016-09-06,CTD3,16.27
2016-09-06,CTD4,11.085
2016-09-06,CTD5,1.52
2016-09-06,CTD6,14.275
2016-09-06,CTD7,14.855
2016-09-06,CTD8,13.965
2016-09-06,CTD9,6.76
2016-09-08,CTD1,20.94
2016-09-08,CTD10,14.865
2016-09-08,CTD11,13.7
2016-09-08,CTD12,13.025
2016-09-08,CTD2,15.345
2016-09-08,CTD3,13.84
2016-09-08,CTD4,13.55
2016-09-08,CTD5,1.105
2016-09-08,CTD6,13.9
2016-09-08,CTD7,15.895
2016-09-08,CTD9,3.8
2016-09-22,CTD1,16.225
2016-09-22,CTD10,12.84
2016-09-22,CTD11,14.64
2016-09-22,CTD2,14.365
2016-09-22,CTD3,12.657
2016-09-22,CTD4,11.365
2016-09-22,CTD5,0.6965
2016-09-22,CTD6,12.297
2016-09-22,CTD7,10.16
2016-09-22,CTD8,12.617
2016-09-22,CTD9,8.92
2016-09-29,CTD1,11.34
2016-09-29,CTD10,5.79
2016-09-29,CTD11,11.903
2016-09-29,CTD12,11.147
2016-09-29,CTD2,12.125
2016-09-29,CTD3,12.842
2016-09-29,CTD5,0.7265
2016-09-29,CTD6,10.385
2016-09-29,CTD7,10.93
2016-09-29,CTD8,10.29
2016-09-29,CTD9,13.75
2016-10-06,CTD1,15.28
2016-10-06,CTD10,7.417
2016-10-06,CTD11,13.893
2016-10-06,CTD12,12.813
2016-10-06,CTD2,16.045
2016-10-06,CTD3,15.102
2016-10-06,CTD4,12.225
2016-10-06,CTD5,0.8965000000000001
2016-10-06,CTD6,15.413
2016-10-06,CTD7,15.417
2016-10-06,CTD8,11.757
2016-10-06,CTD9,1.51
2016-10-14,CTD1,21.745
2016-10-14,CTD10,19.575
2016-10-14,CTD11,22.315
2016-10-14,CTD12,19.525
2016-10-14,CTD2,20.792
2016-10-14,CTD3,19.43
2016-10-14,CTD4,16.698
2016-10-14,CTD5,5.3315
2016-10-14,CTD6,20.804
2016-10-14,CTD7,18.118
2016-10-14,CTD8,21.538
2016-10-14,CTD9,22.0
2016-10-21,CTD1,12.325
2016-10-21,CTD10,22.467
2016-10-21,CTD11,12.195
2016-10-21,CTD12,19.548
2016-10-21,CTD2,17.56
2016-10-21,CTD3,17.64
2016-10-21,CTD4,9.858
2016-10-21,CTD5,2.706
2016-10-21,CTD6,16.332
2016-10-21,CTD7,17.242
2016-10-21,CTD8,16.698
2016-10-21,CTD9,16.17
2016-10-28,CTD1,9.845
2016-10-28,CTD10,15.923
2016-10-28,CTD11,13.37
2016-10-28,CTD12,19.845
2016-10-28,CTD2,14.89
2016-10-28,CTD3,17.29
2016-10-28,CTD4,15.375
2016-10-28,CTD5,5.276
2016-10-28,CTD6,13.852
2016-10-28,CTD7,12.57
2016-10-28,CTD8,15.995
2016-10-28,CTD9,7.61
2016-11-03,CTD1,15.01
2016-11-03,CTD10,22.605
2016-11-03,CTD11,26.358
2016-11-03,CTD12,26.98
2016-11-03,CTD2,18.845
2016-11-03,CTD3,21.482
2016-11-03,CTD4,21.628
2016-11-03,CTD5,6.2225
2016-11-03,CTD6,26.622
2016-11-03,CTD7,17.13
2016-11-03,CTD8,24.607
