Date,Buoy,Chl,Turbidez
2016-06-08,CTD8,14.107,4.533
2016-06-29,CTD4,12.8,5.927
2016-08-02,CTD1,12.187,5.6
2016-08-02,CTD10,14.533,7.73
2016-08-02,CTD11,16.027,6.07
2016-08-02,CTD12,15.71,6.96
2016-08-02,CTD2,15.257,5.483
2016-08-02,CTD3,14.647,4.723
2016-08-02,CTD4,12.307,4.57
2016-08-02,CTD6,17.37,6.067
2016-08-02,CTD7,16.697,7.347
2016-08-02,CTD8,14.377,7.717
2016-08-02,CTD9,10.98,24.44
2016-08-04,CTD1,15.283,6.713
2016-08-04,CTD10,17.797,5.543
2016-08-04,CTD11,14.607,5.407
2016-08-04,CTD12,20.823,6.02
2016-08-04,CTD2,11.607,4.603
2016-08-04,CTD3,10.773,3.937
2016-08-04,CTD4,7.373,4.153
2016-08-04,CTD6,10.843,5.36
2016-08-04,CTD7,13.11,5.193
2016-08-04,CTD8,17.683,6.44
2016-08-04,CTD9,10.18,7.71
2016-08-09,CTD1,10.547,6.76
2016-08-09,CTD10,12.667,4.25
2016-08-09,CTD11,9.49,3.64
2016-08-09,CTD12,9.643,4.187
2016-08-09,CTD2,11.54,4.713
2016-08-09,CTD3,11.967,3.853
2016-08-09,CTD4,8.42,3.567
2016-08-09,CTD5,0.317,0.133
2016-08-09,CTD6,11.273,4.473
2016-08-09,CTD7,12.67,5.82
2016-08-09,CTD8,13.84,6.113
2016-08-09,CTD9,3.66,6.2
2016-08-22,CTD12,11.85,7.18
2016-08-25,CTD1,14.397,6.43
2016-08-25,CTD10,18.67,11.53
2016-08-25,CTD11,16.7,9.24
2016-08-25,CTD2,16.417,5.927
2016-08-25,CTD3,14.62,4.79
2016-08-25,CTD4,16.52,3.66
2016-08-25,CTD5,0.403,1.157
2016-08-25,CTD6,12.163,7.733
2016-08-25,CTD7,12.3,8.967
2016-08-25,CTD8,11.43,9.257
2016-08-25,CTD9,14.7,22.11
2016-08-26,CTD4,16.76,4.37
2016-08-27,CTD4,11.11,5.35
2016-08-30,CTD1,12.46,5.94
2016-08-30,CTD10,14.49,8.12
2016-08-30,CTD11,9.453,7.087
2016-08-30,CTD2,13.937,5.53
2016-08-30,CTD3,15.427,4.957
2016-08-30,CTD4,12.303,4.227
2016-08-30,CTD5,1.913,0.487
2016-08-30,CTD6,15.223,5.45
2016-08-30,CTD7,15.323,11.473
2016-08-30,CTD8,16.61,6.843
2016-08-30,CTD9,8.44,12.22
2016-08-31,CTD1,13.44,6.24
2016-09-01,CTD1,15.61,7.0
2016-09-06,CTD1,17.687,4.83
2016-09-06,CTD10,17.31,5.627
2016-09-06,CTD11,15.707,6.52
2016-09-06,CTD12,11.81,3.33
2016-09-06,CTD2,16.623,3.67
2016-09-06,CTD3,16.097,3.7
2016-09-06,CTD4,11.45,3.857
2016-09-06,CTD5,1.185,0.28
2016-09-06,CTD6,15.007,4.043
2016-09-06,CTD7,14.733,6.87
2016-09-06,CTD8,13.44,5.873
2016-09-06,CTD9,6.76,5.77
2016-09-08,CTD1,20.69,4.907
2016-09-08,CTD10,16.087,4.837
2016-09-08,CTD11,13.64,4.88
2016-09-08,CTD12,13.523,3.983
2016-09-08,CTD2,15.453,4.06
2016-09-08,CTD3,12.993,3.72
2016-09-08,CTD4,14.823,3.443
2016-09-08,CTD5,1.113,0.15
2016-09-08,CTD6,13.47,4.253
2016-09-08,CTD7,16.1,4.427
2016-09-08,CTD9,3.8,5.55
2016-09-22,CTD1,15.787,7.103
2016-09-22,CTD10,12.84,9.25
2016-09-22,CTD11,14.783,8.567
2016-09-22,CTD2,14.313,7.137
2016-09-22,CTD3,12.22,6.553
2016-09-22,CTD4,10.11,6.17
2016-09-22,CTD5,0.71,0.453
2016-09-22,CTD6,10.96,6.06
2016-09-22,CTD7,11.697,11.283
2016-09-22,CTD8,12.58,8.487
2016-09-22,CTD9,8.92,9.91
2016-09-29,CTD1,12.11,7.237
2016-09-29,CTD10,5.133,16.653
2016-09-29,CTD11,12.453,11.143
2016-09-29,CTD12,11.117,10.027
2016-09-29,CTD2,12.407,13.66
2016-09-29,CTD3,12.477,6.433
2016-09-29,CTD5,0.837,3.35
2016-09-29,CTD6,10.51,8.353
2016-09-29,CTD7,10.31,11.937
2016-09-29,CTD8,9.5,15.067
2016-09-29,CTD9,13.75,43.47
2016-10-06,CTD1,14.96,5.82
2016-10-06,CTD10,4.207,23.727
2016-10-06,CTD11,14.433,7.95
2016-10-06,CTD12,11.297,8.3
2016-10-06,CTD2,15.427,5.64
2016-10-06,CTD3,15.41,5.41
2016-10-06,CTD4,12.14,5.77
2016-10-06,CTD5,0.987,1.34
2016-10-06,CTD6,15.95,7.427
2016-10-06,CTD7,15.027,6.35
2016-10-06,CTD8,11.7,9.603
2016-10-06,CTD9,1.51,12.68
2016-10-14,CTD1,23.153,5.95
2016-10-14,CTD10,21.987,8.693
2016-10-14,CTD11,23.34,8.887
2016-10-14,CTD12,20.217,8.387
2016-10-14,CTD2,20.943,5.327
2016-10-14,CTD3,19.227,5.433
2016-10-14,CTD4,18.397,5.247
2016-10-14,CTD5,5.64,1.203
2016-10-14,CTD6,20.553,7.193
2016-10-14,CTD7,15.473,9.08
2016-10-14,CTD8,22.123,7.327
2016-10-14,CTD9,22.0,10.64
2016-10-21,CTD1,12.25,5.263
2016-10-21,CTD10,24.02,9.253
2016-10-21,CTD11,13.35,6.593
2016-10-21,CTD12,20.803,6.473
2016-10-21,CTD2,17.6,5.163
2016-10-21,CTD3,19.217,5.057
2016-10-21,CTD4,10.033,5.667
2016-10-21,CTD5,2.38,0.453
2016-10-21,CTD6,16.243,5.79
2016-10-21,CTD7,17.1,6.11
2016-10-21,CTD8,17.183,7.197
2016-10-21,CTD9,16.17,9.0
2016-10-28,CTD1,9.57,4.277
2016-10-28,CTD10,18.71,8.007
2016-10-28,CTD11,14.053,6.22
2016-10-28,CTD12,20.02,6.94
2016-10-28,CTD2,15.077,5.263
2016-10-28,CTD3,17.823,5.087
2016-10-28,CTD4,12.463,4.93
2016-10-28,CTD5,6.22,1.903
2016-10-28,CTD6,16.34,6.217
2016-10-28,CTD7,13.95,7.633
2016-10-28,CTD8,16.45,6.473
2016-10-28,CTD9,7.61,11.51
2016-11-03,CTD1,14.223,5.207
2016-11-03,CTD10,22.09,4.383
2016-11-03,CTD11,26.523,5.077
2016-11-03,CTD12,28.107,4.463
2016-11-03,CTD2,19.69,6.197
2016-11-03,CTD3,22.163,6.22
2016-11-03,CTD4,21.94,4.17
2016-11-03,CTD5,6.41,0.63
2016-11-03,CTD6,27.48,4.72
2016-11-03,CTD7,17.9,10.033
2016-11-03,CTD8,25.753,6.73
2016-11-03,CTD9,8.0,5.97
2016-11-11,CTD1,8.517,3.807
2016-11-11,CTD10,19.577,6.417
2016-11-11,CTD11,22.67,6.92
2016-11-11,CTD12,19.747,7.467
2016-11-11,CTD2,10.04,4.233
2016-11-11,CTD3,16.687,5.313
2016-11-11,CTD4,17.78,4.03
2016-11-11,CTD5,2.87,0.473
2016-11-11,CTD6,22.84,5.7
2016-11-11,CTD7,15.2,6.32
